Task,Category
plan a picnic with friend or family,not-urgent important
collect feedback on product launch,not-urgent important
clean browser history,not-urgent not-important
listen to an audiobook,not-urgent not-important
review the legal document for the project agreement,urgent important
look up old friend on facebook,not-urgent not-important
be patient with yourself,not-urgent important
pay the electricity bill before it’s due,urgent not-important
check email for urgent message,urgent not-important
organize pencil case,not-urgent not-important
update client contract,urgent not-important
rearrange your bookshelf,not-urgent not-important
confirm campus event registration,urgent not-important
research for homework,not-urgent important
update course calendar,urgent not-important
confirm ride to office,
join an online study community to collaborate with peer,not-urgent not-important
create team recognition badge,not-urgent not-important
forward the invoice,
revisit past exam for practice,urgent not-important
develop talent pipeline strategy,not-urgent important
prepare a quick report on the financial status of the project,urgent important
develop sale strategy,not-urgent important
plan automation strategy,not-urgent important
order new office furniture,not-urgent not-important
test communication tool for efficiency,not-urgent important
re-watch old tv show,not-urgent not-important
find out about student research opportunity,urgent not-important
send project update to stakeholder,urgent important
share a funny meme with friend,not-urgent not-important
check projector for client meeting,urgent not-important
make a grocery list based on meal plan,urgent important
attend extra lab practice session,urgent important
submit the project proposal by tomorrow morning,urgent important
update office amenity guide,not-urgent not-important
replace the leaking pipe in the kitchen immediately,urgent important
customize department letterhead,not-urgent not-important
design revision plan,not-urgent not-important
submit casual expense form,
book meeting room,urgent not-important
share an interesting link,
check for announcement on campus event schedule,urgent not-important
read random blog post,not-urgent not-important
practice problem set,not-urgent important
update class material,urgent not-important
create study timeline design,not-urgent not-important
create and send the invoice to the client,urgent important
schedule an oil change for your car,urgent not-important
rearrange seating for meeting,urgent not-important
finalize the essay revision before submission,urgent important
update resume for job search,urgent not-important
sort through draft folder,not-urgent not-important
pick up your laundry from the dry cleaner before closing,urgent not-important
attend study group session,urgent important
review the feedback from the manager in 3 hour,urgent important
sign up for the upcoming workshop on academic writing,urgent not-important
practice coding problem,not-urgent important
ask ta for clarification on lecture material,urgent not-important
send the application for the scholarship,urgent important
organize your study material by subject,not-urgent not-important
organize study material and workspace,not-urgent important
confirm lunch order for office meeting,urgent not-important
prepare a presentation,urgent important
set up a study corner or home office,not-urgent important
watch a lecture recording for revision,not-urgent not-important
look for volunteer work related to your field of study,not-urgent important
write team appreciation message,not-urgent not-important
confirm lunch location and time,urgent not-important
order new business card,not-urgent not-important
take dance or yoga class,not-urgent important
organize old email,not-urgent not-important
ensure data security and compliance with privacy regulation,not-urgent important
summarize key point for retention,not-urgent important
finish the report for the research project,urgent important
review the critical incident report in 3 hour,urgent important
respond to urgent email,urgent not-important
call for door handle repair,urgent not-important
write down your thought on recent personal experience,not-urgent important
present insight and finding to non-technical stakeholder,urgent not-important
write case study for recent project,not-urgent important
design study milestone tracker,not-urgent not-important
remind team about filing expense report,urgent not-important
update your work email signature,not-urgent not-important
check competitor pricing,not-urgent important
learn a new software tool,not-urgent important
update study music genre,not-urgent not-important
schedule the performance review meeting for tomorrow evening,urgent important
update client portfolio,not-urgent not-important
set long-term academic goal for your degree program,not-urgent important
deploy app to app store/play store (if applicable),not-urgent important
review current project status,not-urgent important
practice presentation,not-urgent important
organize employee training document,not-urgent important
confirm registration for next semester’s elective course,urgent not-important
review and update project schedule regularly,urgent important
scroll through pinterest for new idea,not-urgent not-important
review note and study for homework,not-urgent important
complete your application for the study abroad program,urgent not-important
submit extra credit form,urgent not-important
design review schedule,not-urgent not-important
automate repetitive data processing task,not-urgent important
organize study material for the exam,urgent important
create study ambiance,not-urgent not-important
organize digital folder,not-urgent not-important
draft response template,not-urgent important
find a part-time job or internship opportunity,not-urgent important
schedule the car repair appointment,urgent important
make a scrapbook,not-urgent not-important
organize office supply cabinet,not-urgent not-important
check study abroad application status,urgent not-important
take a break and relax with tea,not-urgent not-important
finalize the product design change for the upcoming release,urgent important
submit the urgent purchase requisition today,urgent important
stay hydrated and have snack,not-urgent important
attend conference,not-urgent important
look for online study resource,urgent not-important
organize digital photo,not-urgent not-important
schedule the follow-up call with the vendor for next day,urgent important
build technical skill,not-urgent important
check university’s event calendar for social event,not-urgent not-important
ask about late submission policy,urgent not-important
prepare the logistics framework for seasonal demand,urgent important
regular health checkup,not-urgent important
remind team about lunch,
cleaning the bathroom,urgent important
send out new hire welcome email,urgent important
read about new research being conducted in your field,not-urgent not-important
create quarterly project plan,not-urgent important
browse through study abroad program offered by the university,not-urgent not-important
look up class study resource,not-urgent not-important
pay the electricity bill before the due date,urgent important
ask about university health service,urgent not-important
check weekend weather forecast,urgent not-important
complete the audit report for the fiscal year,urgent important
respond to customer complaint,urgent important
organize group study session for a difficult subject,not-urgent important
send email to professor about missing class note,urgent not-important
finish the essay for the history class,urgent important
attend the lecture to finalize the project,urgent important
sort study website,not-urgent not-important
design study habit tracker,not-urgent not-important
plan a weekend movie marathon,not-urgent important
review the draft legal agreement with the compliance team,urgent important
finalize the design for tomorrow’s product unveiling,urgent important
renew software subscription,not-urgent important
search for part-time job opportunity on campus,not-urgent not-important
read about office ergonomics for a better workspace,not-urgent not-important
confirm attendance at upcoming conference,urgent important
confirm presentation schedule,urgent not-important
organize class note,not-urgent not-important
start a new exercise routine,not-urgent important
review application requirement for scholarship,urgent not-important
try out new recipe,not-urgent not-important
listen to music for relaxation,not-urgent not-important
schedule a virtual meeting with a classmate to discus note,urgent not-important
follow academic conference or workshop relevant to your study,not-urgent important
clean dorm room,not-urgent not-important
get enough sleep,not-urgent important
update company directory,urgent not-important
participate in a student organization meeting,not-urgent important
schedule office maintenance,not-urgent important
remind group member about the project deadline tomorrow,urgent not-important
draft new marketing plan,not-urgent important
prepare for tomorrow's presentation,urgent important
complete the customer survey analysis,urgent important
respond to data breach incident,urgent important
review syllabus for any change to due date,urgent not-important
complete lab experiment report,urgent important
practice writing academic paper and essay,not-urgent important
plan a campus event or activity for student,not-urgent not-important
review course syllabus for missing info,urgent not-important
build data pipeline for efficient data flow,urgent important
customize notification setting,not-urgent not-important
set up a meeting invite,
organize research paper,not-urgent not-important
collect printed document,
prepare and deliver presentation to share insight with executive,not-urgent important
strategic planning session,not-urgent important
prepare the presentation for the client meeting,urgent important
update team on project status,urgent not-important
plan desk decoration,
finalize the customer feedback report for presentation,urgent important
look up quiz detail,urgent not-important
"design the app ui/ux (wireframes, mockups)",not-urgent important
update study room lighting,not-urgent not-important
review the data migration result for accuracy check,urgent important
look for internship opportunity,urgent not-important
resolve the issue affecting the customer database,urgent important
plan a visit to a university open house or research symposium,not-urgent important
update study focus timer,not-urgent not-important
order flower for upcoming event,not-urgent not-important
submit contract revision,urgent important
set up a reminder alert,
revise the study guide for the final exam,urgent important
resolve server downtime,urgent important
complete scholarship application,urgent important
create exam study guide,not-urgent important
ask for an extension on assignment due tomorrow,urgent not-important
notify cleaner for spill,
book study room in library,urgent not-important
create an exam study guide,not-urgent important
professional development course,not-urgent important
reorganize your bookmark on the browser,not-urgent not-important
handle the customer complaint that requires immediate attention,urgent important
preventive maintenance,not-urgent important
complete office maintenance request,urgent important
set reminder for exam date,not-urgent important
search for funny meme on instagram,not-urgent not-important
join study group,not-urgent important
conduct the necessary revision for the product guide,urgent important
organize dorm room,not-urgent not-important
write history essay,urgent important
do laundry,not-urgent not-important
update personal study planner,urgent not-important
compile the key metric for the leadership update session,urgent important
participate in extracurricular activity and leadership program,not-urgent not-important
write up the note from today’s class for the group,urgent not-important
research essay topic,not-urgent important
review study flashcard,not-urgent important
check course registration portal,urgent not-important
confirm group member availability for project work,urgent not-important
look up current traffic condition,urgent not-important
design note-taking system,not-urgent not-important
sort old assignment paper,not-urgent not-important
create email filter,not-urgent not-important
look for project material,urgent not-important
check printer and copier supply,urgent not-important
plan a research project to deepen knowledge in your major,not-urgent important
manage product launch,urgent important
review the hardware requirement for the technology upgrade,urgent important
schedule exam preparation time,not-urgent important
online shopping,not-urgent not-important
take a break or nap,not-urgent important
set up a calendar for recurring team review,not-urgent important
research potential career path,not-urgent important
submit the requirement document for team-wide rollout,urgent important
update calendar,urgent not-important
send out office reminder about document submission,urgent not-important
ensure the safety protocol are aligned with the updated regulation,urgent important
conduct a/b testing and experimentation,not-urgent important
notify cleaning team about kitchen,urgent not-important
prepare the documentation for the company-wide policy update,urgent important
complete the math assignment before class,urgent important
update software license,urgent not-important
review note for upcoming class,urgent not-important
fill out paperwork,urgent not-important
review contract detail,urgent not-important
practice mental health exercise,not-urgent important
review previous exam question,not-urgent important
test new project management tool,not-urgent important
explore a new part of town,not-urgent not-important
call mom to check in,urgent not-important
participate in student club meeting,not-urgent important
check if the course material are available,urgent not-important
complete history essay,urgent important
complete the course enrollment for the next semester,urgent important
create study atmosphere,not-urgent not-important
organize kitchen cabinet,not-urgent not-important
try out new video editing software,not-urgent not-important
organize lab report,not-urgent not-important
check out job opening on campus,urgent not-important
update office decoration schedule,not-urgent not-important
update the it service log with the latest activity,urgent important
update project document,urgent not-important
review course prerequisite,urgent not-important
organize phone photo album,not-urgent not-important
volunteer at a local charity,not-urgent important
practice sample question,not-urgent important
check office calendar,urgent not-important
check tutor availability,urgent not-important
submit the tax document before the deadline,urgent important
visit the campus career center for job search advice,not-urgent important
check new app update,not-urgent not-important
close and lock office window,urgent not-important
attend the emergency meeting on the upcoming campaign,urgent important
meet with the student advisor about course schedule,urgent not-important
read a relevant research article,not-urgent important
book travel for conference,urgent not-important
find extension cable,
sort browser extension,not-urgent not-important
schedule training session,urgent not-important
update your linkedin profile with new project and accomplishment,not-urgent important
review the analytics report for strategic planning,urgent important
organize phone apps,not-urgent not-important
check if your office software subscription are up to date,not-urgent not-important
submit the travel itinerary detail by next day,urgent important
send update about room change,urgent not-important
read through internal company newsletter,not-urgent not-important
plan out the week ahead,not-urgent important
design revision card,not-urgent not-important
update study tracker app,not-urgent not-important
follow up with professor on project feedback,not-urgent important
update app order,not-urgent not-important
clean out inbox,not-urgent not-important
browse online shopping site,not-urgent not-important
create a study checklist,not-urgent important
respond to the email regarding the partnership offer,urgent important
prepare presentation and report for class,not-urgent important
pay credit card bill,urgent not-important
design team merchandise,not-urgent not-important
arrange the note for the upcoming lecture review session,urgent not-important
organize desktop icon,
arrange a coffee break,
make a habit tracker for personal goal,not-urgent important
coordinate the logistics for next day’s product launch,urgent important
review university’s policy on academic honesty,not-urgent not-important
submit the university application form by tomorrow,urgent important
notify cleaning team about spill,urgent not-important
check for volunteering opportunity at university event,not-urgent not-important
network with industry professional,not-urgent important
schedule time with professor,urgent not-important
browse desk lamp,not-urgent not-important
finalize the distribution plan for the charity drive,urgent important
attend professional development workshop,not-urgent important
send an email about upcoming holiday schedule,urgent not-important
look for new job opening,urgent not-important
create flashcard for studying,not-urgent important
submit research paper revision,urgent important
review past exam paper,not-urgent important
check if course material are uploaded,urgent not-important
confirm networking event registration,urgent not-important
look for new podcast recommendation,not-urgent important
create a presentation for the executive team,urgent important
write blog post,not-urgent important
organize personal digital file,not-urgent not-important
join a professional student association,not-urgent important
plan weekend study retreat,not-urgent not-important
set timeline for ongoing project milestone,not-urgent important
book the ticket for the upcoming family trip,urgent important
coordinate the final preparation for the trade show booth,urgent important
reply to routine email,urgent not-important
sort mobile apps by color,not-urgent not-important
submit the annual report for the community project,urgent important
submit the client proposal for the new project,urgent important
draft annual financial summary,not-urgent important
sign up for tutoring session,urgent not-important
write a reflection on personal growth,not-urgent important
clean and organize study space,not-urgent important
attend tutoring for difficult subject,urgent important
ensure the final payment is processed for the supplier,urgent important
review and approve change to the financial forecast,urgent important
double-check the requirement for applying for graduation,urgent not-important
watch random youtube video,not-urgent not-important
chat with a friend on the phone,not-urgent not-important
decorate dorm room,not-urgent not-important
arrange recycling pickup,urgent not-important
resolve customer complaint,urgent important
explore internship or job shadowing opportunity,not-urgent important
prepare the application for the graduate program,urgent important
complete assigned reading,urgent important
buy a new planner or journal,not-urgent important
finalize the quarterly budget adjustment,urgent important
complete the final edits on the annual newsletter,urgent important
complete graduation requirement,urgent important
build personal brand,not-urgent important
email professor for exam feedback,urgent not-important
plan graduation requirement,not-urgent important
take a walk around the office during lunch break,not-urgent not-important
develop and train machine learning model,urgent important
complete the literature review for the seminar paper,urgent important
check in with a colleague about a non-urgent task,not-urgent not-important
update contact list,urgent not-important
address the plumbing issue in the upstairs bathroom,urgent important
browse study method,not-urgent not-important
cleaning the kitchen,urgent important
email professor for clarification,urgent not-important
browse study snack,not-urgent not-important
browse educational youtube,not-urgent not-important
send the product update to client,urgent important
design new avatar,not-urgent not-important
organize and update your list of academic contact,not-urgent important
submit parking permit,urgent not-important
read article on improving academic writing skill,not-urgent not-important
attend a friend's casual gathering,not-urgent not-important
book a dentist appointment before next month,urgent not-important
check email for scholarship information,urgent not-important
review report submitted by sub-teams,not-urgent important
implement customer support software,urgent important
address customer complaint about the delayed delivery,urgent important
design company merchandise,not-urgent not-important
organize your work-related bookmark,not-urgent not-important
create reading schedule,not-urgent not-important
check the weather forecast for fun,not-urgent not-important
respond to low-priority comment online,not-urgent not-important
look for study material,urgent not-important
check registration for course,urgent not-important
review your course syllabus for upcoming assignment,not-urgent not-important
take a walk in the neighborhood,not-urgent not-important
check social medium during work hour,not-urgent not-important
organize department file,not-urgent not-important
finalize quarterly report,urgent important
prepare the communication plan for the organizational restructure,urgent important
create a vision board,not-urgent not-important
review the compliance report from the legal team,urgent important
schedule the follow-up call with the supplier,urgent important
prepare the monthly report for the stakeholder,urgent important
archive old project file,not-urgent not-important
prepare the conference room,urgent not-important
browse campus store,not-urgent not-important
check class material update,urgent not-important
take the dog out for a walk,urgent not-important
check office inventory level,not-urgent not-important
read online story,not-urgent not-important
make the appointment for home repair,urgent important
maintain project documentation and report,not-urgent important
create study accountability chart,not-urgent not-important
customize notebook cover,not-urgent not-important
prepare the document for tomorrow’s critical pitch,urgent important
watch a random youtube tutorial,not-urgent not-important
play around with filter on photo,not-urgent not-important
train sale team,urgent important
review your gpa and academic standing online,urgent not-important
delete unused apps,not-urgent not-important
meet with project teammate,urgent important
send meeting schedule update,urgent not-important
review feedback comment,not-urgent important
review university’s student wellness resource,not-urgent not-important
plan budget for semester,not-urgent important
complete the risk assessment in 2 hour,urgent important
browse random internet article,not-urgent not-important
organize study playlist,not-urgent not-important
analyze sale performance metric,not-urgent important
get student id card,urgent not-important
plan team lunch,not-urgent not-important
ask about final project requirement,urgent not-important
check new meme,not-urgent not-important
check for upcoming university workshop and webinars,not-urgent not-important
check university’s newsletter for student achievement,not-urgent not-important
complete peer review deadline,urgent important
send weekly status report,urgent not-important
host monthly feedback session,not-urgent important
finalize the design for the ngo’s awareness campaign,urgent important
ensure snack are stocked for break,urgent not-important
resolve the technical issue affecting production,urgent important
create template for internal report,not-urgent important
go hiking or camping,not-urgent important
customize alarm sound,not-urgent not-important
prepare for the meeting with the senior executive,urgent important
do a fun quiz online,not-urgent not-important
check for update on student housing option,not-urgent not-important
design email newsletter template,not-urgent not-important
arrange for academic tutoring in a challenging subject,not-urgent important
look into online platform for free textbook,not-urgent not-important
design new study corner,not-urgent not-important
address security breach,urgent important
update social medium profile,not-urgent not-important
review office equipment inventory,urgent not-important
reply to classmate email,urgent not-important
prepare the paperwork for the home loan application,urgent important
verify study group schedule,urgent not-important
update social medium profile,not-urgent important
prepare group project material,not-urgent important
confirm final project submission date,urgent not-important
improve academic writing,not-urgent important
handle customer crisis,urgent important
watch a fashion haul video,not-urgent not-important
update study routine visuals,not-urgent not-important
search for new conference call tool,not-urgent not-important
respond to client emergency,urgent important
ensure app is responsive across device and screen size,not-urgent important
send feedback to client,urgent important
practice essay writing skill,not-urgent important
submit tax document,urgent important
create productivity system,not-urgent not-important
send follow-up to project manager,urgent not-important
browse office furniture catalog for inspiration,not-urgent not-important
update password list,not-urgent not-important
communicate with stakeholder and client,not-urgent important
write the introduction section for the research thesis,urgent important
take your pet to the vet for routine checkup,urgent not-important
look for online course to enhance office skill,not-urgent not-important
review personal fitness goal,not-urgent important
clean up the house before guest arrive,urgent not-important
research artificial intelligence adoption,not-urgent important
inspect a sticky door lock,
check for study group,urgent not-important
arrange team lunch for tomorrow,urgent not-important
submit the urgent hr document for approval today,urgent important
update phone home screen layout,not-urgent not-important
find book in the campus library for fun reading,not-urgent not-important
remind your group about meeting for project work this week,urgent not-important
create a study playlist,not-urgent not-important
negotiate salary offer,urgent important
update department contact list,urgent not-important
prepare the guest room for relative visiting this weekend,urgent important
organize next month's event calendar,not-urgent important
try new mobile game,not-urgent not-important
find an hdmi adapter,
attend virtual office hour for extra help from professor,not-urgent not-important
test workflow automation,not-urgent not-important
check update to hr policy,urgent not-important
file office document,urgent not-important
return phone call,urgent not-important
research how to effectively manage stress during exam season,not-urgent important
send follow-up email,urgent not-important
submit expense report,urgent not-important
address workplace safety violation,urgent important
look for research funding opportunity,urgent not-important
submit your application for university scholarship,urgent not-important
try a new app,not-urgent not-important
rest and allow your body to recover,urgent important
develop a crisis communication plan,not-urgent important
save money for future,not-urgent important
write discussion post for online class,urgent important
practice problem or exercise,not-urgent important
check for change to the exam schedule posted by the university,urgent not-important
update desk setup,not-urgent not-important
buy grocery before you run out of essential,urgent not-important
update class project document,urgent important
schedule car service appointment,urgent not-important
find a better desk lamp,
schedule study session for upcoming exam,not-urgent important
water the plant before they wilt,urgent not-important
pay the overdue credit card bill to avoid penalty,urgent important
browse through student club and organization to join,not-urgent not-important
respond to the client's request for a change in project scope,urgent important
brainstorm product idea,not-urgent important
organize your work document by project,not-urgent not-important
brainstorm thesis idea,not-urgent important
create budget projection for upcoming project,not-urgent important
find nearest restroom location,urgent not-important
confirm study group meeting,urgent important
organize shared folder,urgent not-important
attend code review meeting,urgent not-important
review the code change flagged a critical by the team,urgent important
schedule the meeting with the insurance agent,urgent important
set default meeting time,
organize past paper,not-urgent not-important
send follow-up email about contract,urgent not-important
schedule time for office hour with professor,urgent not-important
watch random instagram story,not-urgent not-important
ask ta about assignment clarification,urgent not-important
organize study schedule,not-urgent not-important
review the assigned reading for the next class discussion,urgent important
update company screensaver quote,not-urgent not-important
update device wallpaper,not-urgent not-important
confirm project scope,urgent not-important
submit internship application,urgent important
check if you need any additional textbook for your course,not-urgent not-important
send a quick email to your professor about office hour,urgent not-important
spend time organizing family event or reunion,not-urgent important
finalize the layout for the company’s annual report,urgent important
eat lunch,not-urgent important
ask professor about assignment clarification,urgent not-important
coordinate office supply inventory,urgent not-important
confirm agenda for meeting,urgent not-important
evaluate model performance and make adjustment,urgent important
pay off student loan,urgent important
manage product return and refund,urgent not-important
check for course update,urgent not-important
listen to music,not-urgent not-important
finalize the presentation for the client meeting,urgent important
take trash out before it overflow,urgent not-important
apply for student club membership,not-urgent not-important
design employee handbook layout,not-urgent not-important
review the medical test result with the family doctor,urgent important
buy laundry detergent for the weekend wash,urgent not-important
address employee concern about the revised policy,urgent important
dusting furniture,not-urgent important
book equipment rental,urgent not-important
plan next month's budget,not-urgent important
send the group’s project report to your professor for feedback,urgent not-important
update team on project timeline,urgent not-important
design carbon neutrality roadmap,not-urgent important
find a quiet study spot on campus,not-urgent not-important
fix a loose chair wheel,
attend the meeting to discus the project deliverable,urgent important
update todo list,urgent not-important
take the dog for a walk before the sun set,urgent not-important
brainstorm idea for research paper,not-urgent important
exercise and fitness,not-urgent important
schedule the doctor’s appointment for a health check-up,urgent important
check office maintenance request,urgent important
prepare water bottle,
respond to medium inquiry,urgent not-important
find time for group meeting,urgent not-important
check email for class announcement,urgent not-important
email casual greeting,
call the bank to verify the transaction,urgent not-important
draft a proposal for new project,urgent important
check social medium mention,urgent not-important
book a conference room,urgent not-important
set up a meeting with your academic advisor for semester planning,not-urgent important
look up new office productivity tool,not-urgent not-important
ask department about internship credit,urgent not-important
practice mindfulness,not-urgent important
ask about the deadline for submitting your thesis proposal,urgent not-important
make sure all assignment are submitted by midnight,urgent not-important
confirm meeting time,
organize file by client or project,not-urgent not-important
attend university-hosted career fair or job expo,not-urgent important
check course prerequisite for next semester,urgent not-important
sort photo from class event,not-urgent not-important
research new healthy recipe to try,not-urgent important
print out meeting note,urgent not-important
work on group project,urgent important
write a to-do list for the week,not-urgent important
conduct client satisfaction survey,not-urgent important
clean out the junk drawer,not-urgent not-important
create succession planning framework,not-urgent important
sort business card,not-urgent not-important
organize the logistics for tomorrow’s site visit,urgent important
browse new stationery item,not-urgent not-important
organize digital bookmark,not-urgent not-important
review the marketing campaign strategy for next day’s rollout,urgent important
submit course drop request,urgent important
watch an old classic movie,not-urgent not-important
update project documentation,not-urgent important
submit the urgent project deliverable by end of day,urgent important
check university portal for update on event,not-urgent not-important
look up course prerequisite,urgent not-important
replace an old keyboard,
take online course,not-urgent important
update linkedin profile with academic and internship experience,not-urgent important
take a quick break to stretch,urgent not-important
clean desk,not-urgent not-important
improve product quality,urgent important
arrange meeting room coffee,urgent not-important
organize file for the quarterly audit,not-urgent important
pay monthly bill,urgent not-important
study for the upcoming physic final exam,urgent important
read blog post about office organization,not-urgent not-important
organize team feedback session,not-urgent important
attend the emergency meeting scheduled by the supervisor,urgent important
check in on pending contract,urgent not-important
ask professor for study tip,not-urgent important
study for the final exam in the morning,urgent important
submit project proposal deadline,urgent important
validate the financial input for the partnership agreement,urgent important
notify team about snack,
organize study resource,not-urgent not-important
color-code digital folder,not-urgent not-important
format document,urgent not-important
look up new semester syllabus,urgent not-important
sort email newsletter,not-urgent not-important
submit mid-term application form,urgent not-important
find printer paper size,urgent not-important
resolve the network outage affecting the office system,urgent important
confirm dinner plan,
schedule time for regular library visit,not-urgent important
prepare list of question for exam review,not-urgent important
ensure the team roster is updated for the upcoming project,urgent important
buy textbook,urgent not-important
prepare for internship interview,urgent important
research topic for class presentation,not-urgent important
study for the mid-term exam tomorrow,urgent important
process parking permit,urgent not-important
update contact list,not-urgent not-important
improve production efficiency,urgent important
complete prerequisite waiver,urgent important
check if final exam schedule changed,urgent not-important
arrange client call,urgent not-important
clean out your email inbox,not-urgent important
prepare job interview,urgent important
find nearest food delivery option,urgent not-important
prepare the final budget report for the household,urgent important
update study wallpaper,not-urgent not-important
check scholarship status,urgent not-important
update phone system,urgent not-important
rearrange desk decoration,not-urgent not-important
double-check class schedule for next semester,urgent not-important
plan a networking event for next month,not-urgent important
wipe desk surface,
create study motivation board,not-urgent not-important
set a timer for study break,not-urgent important
browse study timer,not-urgent not-important
check office calendar for update,urgent not-important
search for tip on improving office productivity,not-urgent not-important
send funny meme,
organize your note by course and subject,not-urgent not-important
watch video review on university life experience,not-urgent not-important
search for unique gift idea,not-urgent not-important
respond to the professor’s request for additional data,urgent important
participate in study forum,urgent not-important
review quarterly expense report,not-urgent important
check the availability of course seat,urgent not-important
clean out garage,not-urgent not-important
proofread marketing campaign material,not-urgent important
clean out closet and donate old clothes,not-urgent important
watch the latest movie release,not-urgent not-important
create sale report,urgent not-important
complete online course or certification for career development,not-urgent important
renew professional certification,not-urgent important
appeal academic probation,urgent important
contact the repair service for the broken ac unit,urgent important
print lecture slide,urgent not-important
review feedback on previous assignment,not-urgent important
check assignment submission status,urgent not-important
finalize the catering order for the upcoming event,urgent important
find student blog about effective study environment,not-urgent not-important
organize end-of-year review documentation,not-urgent important
create email marketing campaign,urgent important
clean room,not-urgent not-important
meet the client to discus the change in the contract,urgent important
complete online course module,urgent important
study for upcoming exam,urgent important
resolve the issue with the vendor payment delay,urgent important
rearrange study desk,not-urgent not-important
prepare for lab assignment,urgent important
review and memorize lecture material for the test,urgent not-important
set up whiteboard for meeting,urgent not-important
finalize the product shipment for customer delivery,urgent important
review office seating plan,urgent not-important
make a list of book to read this year,not-urgent important
review course syllabus,not-urgent important
prepare the q&a response for tomorrow’s panel discussion,urgent important
register for required course,urgent important
create a playlist for your study session,not-urgent important
update the system configuration before the major release,urgent important
update social medium bios,not-urgent not-important
implement new crm system,urgent important
update assignment tracker,not-urgent not-important
join a student-led project or initiative,not-urgent important
respond to negative review,urgent important
prepare a personal study space at home,not-urgent important
confirm attendance for the upcoming webinar on research method,urgent not-important
organize company-wide webinar,not-urgent important
get stationery for brainstorming session,urgent not-important
assign task for project phase,not-urgent important
browse through office supply catalog,not-urgent not-important
pay the gas bill online before it’s overdue,urgent not-important
revisit past note for review,urgent not-important
write note for research paper,not-urgent important
experiment with new photography angle,not-urgent not-important
check deadline for graduate school application,urgent not-important
join academic society,not-urgent important
review and update marketing strategy,not-urgent important
reorder office supply,urgent not-important
set up automated report,not-urgent important
finalize the expense summary for tomorrow’s financial audit,urgent important
check thesis submission format,urgent not-important
conduct market research,not-urgent important
remind employee about submitting their timesheets,urgent not-important
update folder color,not-urgent not-important
check university event schedule,urgent not-important
manage stress,not-urgent important
re-watch your favorite movie,not-urgent not-important
request meeting agenda,urgent not-important
pick up grocery,urgent not-important
do art and craft,not-urgent not-important
organize note from multiple course,not-urgent important
research potential graduate program for the future,not-urgent not-important
create a spreadsheet for tracking grade,not-urgent not-important
schedule team meeting,urgent important
attend stakeholder presentation,not-urgent important
prepare the project timeline for the semester-long assignment,urgent important
schedule research meeting,urgent not-important
record meeting note,urgent not-important
send out reminder for the neighborhood cleanup event,urgent important
check library hour during exam week,urgent not-important
review the professor’s comment on the term paper draft,urgent important
prepare for upcoming exam or quiz,urgent important
look up course feedback from past student,urgent not-important
follow up on job application,urgent not-important
ask about graduation requirement,urgent not-important
update calendar for upcoming deadline,not-urgent important
browse study chair,not-urgent not-important
update student insurance,urgent not-important
read feedback on the latest submitted assignment,urgent not-important
play an instrument,not-urgent not-important
review department objective,not-urgent important
arrange client appreciation gift,not-urgent not-important
study for tomorrow's exam,urgent important
schedule study session for exam,urgent not-important
develop employee onboarding plan,not-urgent important
watch a comedy show,not-urgent not-important
email professor about missed lecture,urgent not-important
schedule project milestone,not-urgent important
volunteer at a university event or conference,not-urgent important
follow up on action item from meeting,urgent important
coordinate team activity,urgent not-important
update bulletin board,
check deadline for submitting internship application,urgent not-important
look for study guide for upcoming exam,urgent not-important
create study schedule,not-urgent important
color code file,not-urgent not-important
submit club budget,urgent not-important
set up meeting with a mentor,not-urgent important
finalize the legal agreement for tomorrow’s partnership deal,urgent important
watch tv show in the evening,not-urgent not-important
sort saved post,not-urgent not-important
address academic misconduct case,urgent important
email team about project delay,urgent not-important
find out the office hour for the department advisor,urgent not-important
send the email to the professor regarding the research paper,urgent important
analyze customer support metric,not-urgent important
coordinate crisis communication,urgent important
finalize the action plan for tomorrow's crisis management meeting,urgent important
complete a short survey for the university’s student feedback,urgent not-important
reserve team dinner table,
verify detail for job fair,urgent not-important
back up important company file,not-urgent important
organize study material for the semester,not-urgent important
clean email inbox,not-urgent not-important
write monthly progress report,not-urgent important
develop customer experience strategy,not-urgent important
double-check registration for next semester's class,urgent not-important
pick music for gathering,
browse study blog,not-urgent not-important
connect with classmate to discus course material,not-urgent important
attend the workshop on research methodology,urgent important
review legal document,urgent important
attend an online community event,not-urgent not-important
prepare demo and presentation for hackathon judging,urgent important
submit financial aid document,urgent important
prepare the document for the child’s school admission,urgent important
review employee feedback,not-urgent important
remind manager about deadline,urgent not-important
respond to urgent email,urgent important
reorganize study material before exam week,urgent not-important
plan marketing strategy,not-urgent important
"browse and buy a birthday present for her mom, whose birthday is next week",not-urgent important
update device nickname,not-urgent not-important
update study method visuals,not-urgent not-important
plan vacation,not-urgent important
change the water in the fish tank,urgent not-important
prepare your note for upcoming lecture tomorrow,urgent not-important
find a study buddy for a challenging subject,not-urgent important
update project timeline,not-urgent important
label shared folder,
review email from unknown sender,urgent not-important
plan casual meetup,
check out new tech tool for virtual meeting,not-urgent not-important
check parking spot near concert,urgent not-important
customize shortcut,not-urgent not-important
approve the revised budget proposal for the team,urgent important
buy a new pair of shoe for the weekend trip,urgent not-important
write a letter to someone,not-urgent not-important
read industry news,not-urgent important
watch time-lapse video,not-urgent not-important
research study abroad opportunity,not-urgent important
attend emergency team meeting,urgent important
coordinate the logistics for the town hall event,urgent important
